model,macro_f1_no_wx,macro_f1_wx,delta,acc_no_wx,acc_wx
Logistic Regression,0.31637909076771475,0.3086550515693819,-0.007724039198332866,0.5979135320362848,0.5830231317602924
Random Forest,0.4655930456516715,0.46431400591301586,-0.0012790397386556185,0.7424870338641549,0.7468102870959045
XGBoost,0.44130305629396255,0.43773327000067913,-0.003569786293283417,0.7073211919857829,0.7021441596581405
Mixed Naive Bayes,0.36656715953483243,0.3589581589400804,-0.007609000594752058,0.5930517746718966,0.6987254194244167
